iter	Accuracy	Logloss
1717	0.8480011504	0.3182725289
1718	0.8481449525	0.3182431855
1719	0.8484325568	0.3181793555
1720	0.8484325568	0.3181458914
1721	0.8484325568	0.3181147574
1722	0.8484325568	0.3180661699
1723	0.8484325568	0.3180334203
1724	0.8484325568	0.3179679759
1725	0.8485763589	0.3179028352
1726	0.8482887547	0.317859396
1727	0.8482887547	0.3178222953
1728	0.8482887547	0.317775988
1729	0.8484325568	0.3177558271
1730	0.8485763589	0.3177176974
1731	0.8487201611	0.3176724893
1732	0.8485763589	0.3176222455
1733	0.8485763589	0.3175915551
1734	0.8487201611	0.3175498932
1735	0.8484325568	0.3174903806
1736	0.8485763589	0.3174514213
1737	0.8485763589	0.3174001233
1738	0.8488639632	0.317357448
1739	0.8488639632	0.3173093726
1740	0.8487201611	0.3172512799
1741	0.8487201611	0.3172271188
1742	0.8488639632	0.3171806893
1743	0.8488639632	0.3171484831
1744	0.8490077653	0.3170983391
1745	0.8490077653	0.3170490461
1746	0.8490077653	0.3170289749
1747	0.8490077653	0.3169790677
1748	0.8491515674	0.3169419329
1749	0.8491515674	0.3168938606
1750	0.8491515674	0.3168675987
1751	0.8491515674	0.3168202029
1752	0.8491515674	0.3167954944
1753	0.8491515674	0.3167577403
1754	0.8491515674	0.3167255902
1755	0.8492953696	0.3166890566
1756	0.8492953696	0.3166310975
1757	0.8494391717	0.3165826607
1758	0.849726776	0.3165532649
1759	0.849726776	0.3165242292
1760	0.849726776	0.3164834101
1761	0.849726776	0.3164588494
1762	0.849726776	0.3164220665
1763	0.8498705781	0.3163865889
1764	0.8500143802	0.3163333865
1765	0.8500143802	0.3162805604
1766	0.8500143802	0.3162528837
1767	0.8500143802	0.3161980481
1768	0.8500143802	0.3161422535
1769	0.8498705781	0.3161260614
1770	0.8500143802	0.3160897751
1771	0.8498705781	0.3160570899
1772	0.8500143802	0.316014703
1773	0.8500143802	0.315977224
1774	0.8504457866	0.3159441746
1775	0.8504457866	0.3159054883
1776	0.8504457866	0.3158549387
1777	0.8504457866	0.3158083852
1778	0.8505895887	0.3157326172
1779	0.8504457866	0.3157008025
1780	0.8504457866	0.3156740939
1781	0.8507333909	0.3156246403
1782	0.850877193	0.3155879951
1783	0.8505895887	0.3155656776
1784	0.8507333909	0.3155206399
1785	0.850877193	0.3154542808
1786	0.850877193	0.315410037
1787	0.850877193	0.3153655562
1788	0.850877193	0.3153155228
1789	0.850877193	0.3152503991
1790	0.850877193	0.3152257319
1791	0.850877193	0.3151988497
1792	0.8510209951	0.3151425576
1793	0.8510209951	0.3151205296
1794	0.8510209951	0.315086022
1795	0.8510209951	0.3150573762
1796	0.8510209951	0.3149963314
1797	0.8510209951	0.3149592987
1798	0.8510209951	0.3149232453
1799	0.8510209951	0.3148861103
1800	0.8510209951	0.3148462165
1801	0.8511647972	0.3148037083
1802	0.8511647972	0.3147716872
1803	0.8513085994	0.3147239057
1804	0.8514524015	0.314706053
1805	0.8514524015	0.3146774854
